,id,name,crossed,geometry,geometry_updated
0,08f283411000dd100303ed5bfcc3a1f9,Threshold Enterprises,[],POINT (-122.0544521000000060 36.9574998000000008),POINT (-122.0544521000000060 36.9574998000000008)
1,08f283411002c65203d81b9076046eeb,Ibis Cycles,[],POINT (-122.0538829999999990 36.9569440000000000),POINT (-122.0538829999999706 36.9569439999999929)
2,08f28341100412350306beb98e9384e5,Santa Cruz West Side Rail Trail,[],POINT (-122.0573255000000046 36.9587471999999977),POINT (-122.0572563140066080 36.9587545902608596)
3,08f283411004a385031d31b0d823e1ff,Future Motion,[],POINT (-122.0573196999999936 36.9596550999999991),POINT (-122.0572964774632254 36.9595110407887688)
4,08f283411004a386037816ae7ea7acc3,Blix Electric Bikes,[],POINT (-122.0546439000000021 36.9591798000000011),POINT (-122.0546438999999879 36.9591798000000011)
5,08f283411004a45c0350aa73a70066ea,AutoTune,[],POINT (-122.0570876999999967 36.9596550999999991),POINT (-122.0569890999999956 36.9596452999999983)
6,08f283411004a4c303b5718b155c196c,Sustainable Systems Research Foundation,['footway'],POINT (-122.0570117999999979 36.9597423000000020),POINT (-122.0569579000000004 36.9596747000000008)
7,08f283411005981603c4eaaddd1c41c1,Kuberg,[],POINT (-122.0557890000000043 36.9592090000000013),POINT (-122.0557890000000043 36.9592089999999942)
8,08f283411005994b03a89109f947beea,CT Racing,[],POINT (-122.0568988999999931 36.9596550999999991),POINT (-122.0568988999999931 36.9596550999999920)
9,08f283411005996b03c99c3e804aa473,Steamer Lane Design,[],POINT (-122.0569308000000035 36.9597194999999985),POINT (-122.0569239939627835 36.9596786994596371)
10,08f283411005ad2403e01c0dd7334374,Michele Giulvezan Tanner Fine Art Studio,['service'],POINT (-122.0556080000000065 36.9596847999999980),POINT (-122.0555848000000196 36.9595841000000007)
11,08f283411005b0e803b52481295b1f84,Westside Farmers Market,"['service', 'footway', 'tertiary', 'footway']",POINT (-122.0563551000000047 36.9601359999999985),POINT (-122.0564155999999940 36.9596015999999992)
12,08f283411005b953035b833ba86d3d80,Radical Movement Factory,[],POINT (-122.0564173000000068 36.9595140999999998),POINT (-122.0564173000000210 36.9595140999999998)
13,08f283411005bd4203d336bfa57d3064,H&H Fresh Fish Co.,"['footway', 'tertiary', 'footway']",POINT (-122.0561742999999950 36.9599399000000020),POINT (-122.0564155999999940 36.9596015999999992)
14,08f283411005d414034be9904126d5d9,Santa Cruz Bicycles,[],POINT (-122.0564645999999982 36.9596166999999980),POINT (-122.0564614095366380 36.9595968894510065)
15,08f283411005d79203d1f1f300aac619,Westside Fitboxing,[],POINT (-122.0565500999999955 36.9595272999999978),POINT (-122.0565501000000097 36.9595272999999978)
16,08f283411005e0f20347f6149f407a7a,The Old Wrigley Building,[],POINT (-122.0557060000000007 36.9594953000000004),POINT (-122.0557059999999865 36.9594952999999933)
17,08f283411005e4f003a9b5ce20c8b85e,CodeStringers,"['footway', 'service']",POINT (-122.0554960999999992 36.9596897999999996),POINT (-122.0554866999999888 36.9595881999999989)
