,id,name,geometry
0,08f283411627100e03a2fb313bedb56e,Bethany Curve,POINT (-122.0392309 36.9545569)
1,08f283411624142403ce37e278aeb536,Modena Estate Sales,POINT (-122.0393386 36.9552137)
2,08f28341105b489e03522e6fa35d49ee,Montero Healing Arts,POINT (-122.0381 36.95668)
3,08f28341162ca9b103907a9d88edb81e,DuFour Productions,POINT (-122.0362615 36.9577188)
4,08f28341162c17b3039f09731593a3b7,Jenny Putt Physical Therapy,POINT (-122.0360167 36.9571699)
5,08f28341162d5d8e0313c4b1bfa48bdb,Community Music School of Santa Cruz,POINT (-122.034401 36.95681)
6,08f28341162d62d903acaa4b2e47f4a8,MCC & TPT  Company,POINT (-122.0336549 36.9570678)
7,08f2834112923cf4032836b7e3863f60,Monterey Bay Refinishing Inc Surface Coating Repair,POINT (-122.032643 36.957869)
8,08f283411675371303663fb88f637bfe,Camp Gateway,POINT (-122.0267797 36.9549021)
9,08f283411675e5b503b6a1e6daac8379,Trusound Audio,POINT (-122.0271284 36.955046)
10,08f283411660520103a5d1ee0bda5415,Shrine of Saint Joseph,POINT (-122.0255424 36.9552601)
11,08f283411666b0210344101bfc36962a,Cliff Side Clothing,POINT (-122.030191 36.95734)
12,08f28341166708c503959860eb790612,Devi Yoga,POINT (-122.0277056 36.9562809)
13,08f283411662e518033777e4974110ef,Shrine Coffee,POINT (-122.0257318 36.9552718)
14,08f2834116605d70031950a797e4ac8a,The St Joseph's Shrine,POINT (-122.0254864 36.9554377)
15,08f2834116619b6603963af55b200622,Lighthouse State Beach - Santa Cruz,POINT (-122.0254544 36.9571416)
16,08f28341166e4d9d03254cbcdcd8cc30,Hondas of Santa Cruz / Hotrod Bray,POINT (-122.025464 36.957321)
17,08f28341166e4c6403beec3e1ff6ce2d,Indicators,POINT (-122.026231 36.957515)
18,08f28341166e182e03997a4c475556af,The Light House,POINT (-122.02631 36.95792)
19,08f28341166266c00371186ebaf869c0,To Honor Surfing Monument,POINT (-122.02497 36.954734)
